N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,activity_duration,late_spikes,runtime_seconds
2000,0.05263157894736842,99,105,SUCCESS,163704,3000.0,2990.0,11067,4.00052619993221
2000,0.10526315789473684,0,211,SUCCESS,170079,3000.0,2990.0,11653,3.8802052000537515
2000,0.10526315789473684,1,211,SUCCESS,226864,3000.0,2990.0,15600,3.9181667000520974
2000,0.10526315789473684,2,211,SUCCESS,219428,3000.0,2990.0,15075,3.8274062999989837
2000,0.10526315789473684,3,211,SUCCESS,218389,3000.0,2990.0,14871,3.997325100004673
2000,0.10526315789473684,4,211,SUCCESS,197992,3000.0,2990.0,13526,3.817109700059518
2000,0.10526315789473684,5,211,SUCCESS,227699,3000.0,2990.0,15527,4.00614900002256
2000,0.10526315789473684,6,211,SUCCESS,210005,3000.0,2990.0,14313,4.171452400041744
2000,0.10526315789473684,7,211,SUCCESS,211749,3000.0,2990.0,14282,4.519709800020792
2000,0.10526315789473684,8,211,SUCCESS,197894,3000.0,2990.0,13555,4.453808100079186
2000,0.10526315789473684,9,211,SUCCESS,228421,3000.0,2990.0,15445,3.960208800039254
2000,0.10526315789473684,10,211,SUCCESS,185956,3000.0,2990.0,12535,3.8941322999307886
2000,0.10526315789473684,11,211,SUCCESS,227217,3000.0,2990.0,15666,3.8448232000228018
2000,0.10526315789473684,12,211,SUCCESS,223859,3000.0,2990.0,15346,3.8963489999296144
2000,0.10526315789473684,13,211,SUCCESS,198306,3000.0,2990.0,13444,3.797294400050305
2000,0.10526315789473684,14,211,SUCCESS,220022,3000.0,2990.0,14749,3.9298047000775114
2000,0.10526315789473684,15,211,SUCCESS,197739,3000.0,2990.0,13561,3.7999531999230385
2000,0.10526315789473684,16,211,SUCCESS,191929,3000.0,2990.0,12892,3.8034799000015482
2000,0.10526315789473684,17,211,SUCCESS,205823,3000.0,2990.0,13888,3.820818900014274
2000,0.10526315789473684,18,211,SUCCESS,202541,3000.0,2990.0,12794,3.739476199960336
2000,0.10526315789473684,19,211,SUCCESS,212651,3000.0,2990.0,14346,3.766745200031437
2000,0.10526315789473684,20,211,SUCCESS,204880,3000.0,2990.0,13785,3.880821500089951
2000,0.10526315789473684,21,211,SUCCESS,161400,3000.0,2990.0,11124,3.7958401000360027
2000,0.10526315789473684,22,211,SUCCESS,205069,3000.0,2990.0,13815,3.8429270000196993
2000,0.10526315789473684,23,211,SUCCESS,219199,3000.0,2990.0,15469,4.576397800003178
2000,0.10526315789473684,24,211,SUCCESS,185430,3000.0,2990.0,12829,4.098588699940592
2000,0.10526315789473684,25,211,SUCCESS,194442,3000.0,2990.0,13074,3.8697285000234842
2000,0.10526315789473684,26,211,SUCCESS,219619,3000.0,2990.0,15075,3.8930690999841318
2000,0.10526315789473684,27,211,SUCCESS,218122,3000.0,2990.0,14663,3.7891180000733584
2000,0.10526315789473684,28,211,SUCCESS,211545,3000.0,2990.0,14499,3.972495900001377
2000,0.10526315789473684,29,211,SUCCESS,209808,3000.0,2990.0,14240,3.9017958999611437
2000,0.10526315789473684,30,211,SUCCESS,222861,3000.0,2990.0,15211,3.8424572000512853
